,date,agency,location,description
2,12-27-2021 5:02 PM,Wilmington Police,1400 BLOCK CLAYTON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
3,12-27-2021 4:27 PM,Wilmington Police,1900 BLOCK N WASHINGTON ST,LARCENY/FROM BUILDING
4,12-27-2021 4:24 PM,Wilmington Police,300 BLOCK WALNUT ST,LARCENY/FROM VEHICLE/NOT ATTACHED
5,12-27-2021 1:17 PM,Wilmington Police,1600 BLOCK HOWLAND ST,DAMAGE/PRIVATE PROPERTY
6,12-27-2021 5:57 AM,Wilmington Police,2600 BLOCK JEFFERSON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
7,12-27-2021 4:46 AM,Wilmington Police,2600 BLOCK HARRISON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
8,12-26-2021 9:45 PM,Wilmington Police,300 BLOCK BROOM ST,DAMAGE/PRIVATE PROPERTY
9,12-26-2021 8:31 PM,Wilmington Police,3000 BLOCK MARKET ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
10,12-26-2021 8:15 PM,Wilmington Police,600 BLOCK 10TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
11,12-26-2021 6:46 PM,Wilmington Police,000 BLOCK E JENSEN DR,BURGLARY/FORCED ENTRY/RESIDENCE
12,12-26-2021 3:02 PM,Delaware State Police,1200 BLOCK N CENTERVILLE RD,LARCENY/SHOPLIFTING
13,12-26-2021 1:51 PM,Wilmington Police,300 BLOCK 22ND ST,BURGLARY/FORCED ENTRY/RESIDENCE
14,12-26-2021 11:38 AM,Wilmington Police,700 BLOCK 39TH ST,DAMAGE/PRIVATE PROPERTY
0,12-25-2021 9:43 PM,Wilmington Police,1300 BLOCK LANCASTER AVE,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
1,12-25-2021 6:26 PM,Wilmington Police,300 BLOCK N JACKSON ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
2,12-25-2021 5:19 PM,Wilmington Police,900 BLOCK 25TH ST,DAMAGE/PRIVATE PROPERTY
3,12-25-2021 12:00 PM,Delaware State Police,700 BLOCK NE PHILADELPHIA PIKE,LARCENY/SHOPLIFTING
4,12-25-2021 9:51 AM,Wilmington Police,2200 BLOCK PINE ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
5,12-25-2021 9:31 AM,Wilmington Police,300 BLOCK EIGHTH AVE,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
6,12-25-2021 3:00 AM,Wilmington Police,1000 BLOCK WASHINGTON ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
7,12-25-2021 1:33 AM,Wilmington Police,600 BLOCK 28TH ST,BURGLARY/FORCED ENTRY/RESIDENCE
8,12-25-2021 12:03 AM,Wilmington Police,1100 BLOCK READ ST,ILLEGALLY FIRING A WEAPON
9,12-24-2021 7:47 PM,Wilmington Police,400 BLOCK MARTIN LUTHER KING BLVD,LARCENY/FROM BUILDING
10,12-24-2021 5:42 PM,Delaware State Police,NEWPORT GAP NW PIKE & WILSON ST,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
11,12-24-2021 4:30 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
12,12-24-2021 2:08 PM,Delaware State Police,1200 BLOCK SE CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
13,12-24-2021 12:32 PM,Wilmington Police,2100 BLOCK CLAYMONT ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
14,12-24-2021 12:15 PM,Wilmington Police,1900 BLOCK S 4TH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
0,12-24-2021 11:56 AM,Wilmington Police,1700 BLOCK LOVERING AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
1,12-24-2021 11:45 AM,Wilmington Police,2800 BLOCK S 2ND ST,FRAUD BY WIRE
2,12-24-2021 11:33 AM,Delaware State Police,300 BLOCK NW LEA BLVD,DAMAGE/BUSINESS PROPERTY
3,12-24-2021 11:18 AM,Delaware State Police,3200 BLOCK W KIRKWOOD HWY,LARCENY/SHOPLIFTING
4,12-24-2021 10:45 AM,Wilmington Police,2300 BLOCK N 19TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
5,12-24-2021 7:36 AM,Wilmington Police,2300 BLOCK DELAWARE AVE,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
6,12-24-2021 3:37 AM,Wilmington Police,3000 BLOCK 2ND ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
7,12-23-2021 9:51 PM,Wilmington Police,1600 BLOCK THATCHER ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
8,12-23-2021 2:35 PM,Wilmington Police,2400 BLOCK MADISON ST,LARCENY/FROM BUILDING
9,12-23-2021 2:35 PM,Wilmington Police,400 BLOCK S 9TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
10,12-23-2021 1:05 PM,Wilmington Police,2800 BLOCK MONROE PL,BURGLARY/FORCED ENTRY/RESIDENCE
11,12-23-2021 2:59 AM,Wilmington Police,1000 BLOCK N LOMBARD ST,VEHICLE THEFT
12,12-23-2021 12:39 AM,Wilmington Police,4000 BLOCK MARKET ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
13,12-22-2021 11:55 PM,Delaware State Police,200 BLOCK SW MARYLAND AVE,LARCENY/FROM BUILDING
14,12-22-2021 10:05 PM,Wilmington Police,500 BLOCK MCCABE AVE,DAMAGE/PRIVATE PROPERTY
0,12-22-2021 8:15 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
1,12-22-2021 7:12 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
2,12-22-2021 6:48 PM,Wilmington Police,1300 BLOCK S HEALD ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
3,12-22-2021 5:45 PM,Delaware State Police,3600 BLOCK NE MILLER RD,ROBBERY/CARJACKING/KNIFE MISCELLANEOUS
4,12-22-2021 5:16 PM,Delaware State Police,4000 BLOCK NE DUPONT PKY,THEFT/FALSE PRETENSE OR PROMISE
5,12-22-2021 5:14 PM,Wilmington Police,1000 BLOCK CLIFFORD BROWN WALK,BURGLARY/NO FORCED ENTRY/RESIDENCE
6,12-22-2021 4:20 PM,Delaware State Police,3600 BLOCK SW MILLER RD,LARCENY/SHOPLIFTING
7,12-22-2021 1:46 PM,Wilmington Police,1200 BLOCK D ST,IMPERSONATION
8,12-22-2021 11:30 AM,Delaware State Police,1200 BLOCK CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
9,12-22-2021 10:12 AM,Wilmington Police,2900 BLOCK CONRAD ST,LARCENY/FROM VEHICLE/NOT ATTACHED
10,12-22-2021 9:24 AM,Wilmington Police,1000 BLOCK 25TH ST,DAMAGE/BUSINESS PROPERTY
11,12-22-2021 9:09 AM,Wilmington Police,1000 BLOCK 3RD ST,THEFT/BUS/TRUCK LOCALLY RECOVERED
12,12-22-2021 6:55 AM,Wilmington Police,800 BLOCK S MARKET ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
13,12-21-2021 6:01 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
14,12-21-2021 5:37 PM,Wilmington Police,100 BLOCK MARTIN LUTHER KING BLVD,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
0,12-21-2021 5:04 PM,Wilmington Police,1500 BLOCK CEDAR ST,THEFT/OTHER MOTOR VEHICLE
1,12-21-2021 3:42 PM,Wilmington Police,100 BLOCK 25TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
2,12-21-2021 3:29 PM,Wilmington Police,2200 BLOCK MARKET ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
3,12-21-2021 1:18 PM,Delaware State Police,3000 BLOCK N NEW CASTLE AVE,LARCENY/FROM BUILDING
4,12-21-2021 11:50 AM,Wilmington Police,1400 BLOCK LINCOLN ST,LARCENY/FROM VEHICLE/NOT ATTACHED
5,12-21-2021 11:02 AM,Wilmington Police,500 BLOCK N 14TH ST,DAMAGE/PRIVATE PROPERTY
6,12-21-2021 11:00 AM,Wilmington Police,300 BLOCK S JUSTISON ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
7,12-21-2021 9:40 AM,Wilmington Police,000 BLOCK TROLLEY SQ,BURGLARY/FORCED ENTRY/NONRESIDENCE
8,12-21-2021 9:35 AM,Wilmington Police,1200 BLOCK N ANCHORAGE ST,LARCENY/FROM VEHICLE/NOT ATTACHED
9,12-21-2021 9:26 AM,Wilmington Police,800 BLOCK NW 22 ST,VEHICLE THEFT
10,12-21-2021 8:48 AM,Wilmington Police,800 BLOCK SCOTT ST,DAMAGE/PRIVATE PROPERTY
11,12-21-2021 8:29 AM,Wilmington Police,2200 BLOCK S PINE ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
12,12-21-2021 8:08 AM,Wilmington Police,500 BLOCK FRANKLIN ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
13,12-21-2021 7:46 AM,Delaware State Police,5200 BLOCK SE WASHINGTON STREET EXTENSI EXT,DISTURBING THE PEACE/PUBLIC NUISANCE
0,12-28-2021 11:36 PM,Wilmington Police,200 BLOCK 9TH ST,DAMAGE/BUSINESS PROPERTY
1,12-28-2021 10:30 PM,Delaware State Police,1200 BLOCK N CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
2,12-28-2021 8:39 PM,Delaware State Police,2800 BLOCK NW LANCASTER AVE,DAMAGE/BUSINESS PROPERTY
3,12-28-2021 8:10 PM,Wilmington Police,200 BLOCK S MARYLAND AVE,DAMAGE/PRIVATE PROPERTY
4,12-28-2021 7:10 PM,Wilmington Police,700 BLOCK S 22ND ST,AGGRAVATED ASSAULT/NON-FAMILY STRONG-ARM/HANDS/FIST/FEET
5,12-28-2021 4:58 PM,Delaware State Police,000 BLOCK S GERMAY DR,LARCENY/FROM BUILDING
6,12-28-2021 3:20 PM,Wilmington Police,900 BLOCK 34TH ST,DAMAGE/PRIVATE PROPERTY
7,12-28-2021 2:00 PM,Wilmington Police,4000 BLOCK MARKET ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
8,12-28-2021 12:33 PM,Wilmington Police,1300 BLOCK S DELAWARE AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
9,12-28-2021 12:02 PM,Wilmington Police,1400 BLOCK S LANCASTER AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
10,12-28-2021 11:52 AM,Wilmington Police,500 BLOCK 24TH ST,DAMAGE/PRIVATE PROPERTY
11,12-28-2021 10:43 AM,Delaware State Police,3000 BLOCK S NEW CASTLE AVE,LARCENY/SHOPLIFTING
12,12-28-2021 8:40 AM,Wilmington Police,900 BLOCK BROOM ST,BURGLARY/FORCED ENTRY/RESIDENCE
13,12-28-2021 8:34 AM,Wilmington Police,,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
14,12-28-2021 8:11 AM,Delaware State Police,700 BLOCK NW NEWPORT GAP PIKE,LARCENY/FROM BUILDING
0,12-27-2021 10:25 PM,Wilmington Police,700 BLOCK JUSTISON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
1,12-27-2021 6:14 PM,Delaware State Police,3600 BLOCK SW MILLER RD,LARCENY/FROM ALL OTHER YARDS
2,12-27-2021 5:02 PM,Wilmington Police,1400 BLOCK CLAYTON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
3,12-27-2021 4:27 PM,Wilmington Police,1900 BLOCK N WASHINGTON ST,LARCENY/FROM BUILDING
4,12-27-2021 4:24 PM,Wilmington Police,300 BLOCK WALNUT ST,LARCENY/FROM VEHICLE/NOT ATTACHED
5,12-27-2021 1:17 PM,Wilmington Police,1600 BLOCK HOWLAND ST,DAMAGE/PRIVATE PROPERTY
6,12-27-2021 5:57 AM,Wilmington Police,2600 BLOCK JEFFERSON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
7,12-27-2021 4:46 AM,Wilmington Police,2600 BLOCK HARRISON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
8,12-26-2021 9:45 PM,Wilmington Police,300 BLOCK BROOM ST,DAMAGE/PRIVATE PROPERTY
9,12-26-2021 8:31 PM,Wilmington Police,3000 BLOCK MARKET ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
10,12-26-2021 8:15 PM,Wilmington Police,600 BLOCK 10TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
11,12-26-2021 6:46 PM,Wilmington Police,000 BLOCK E JENSEN DR,BURGLARY/FORCED ENTRY/RESIDENCE
12,12-26-2021 3:02 PM,Delaware State Police,1200 BLOCK N CENTERVILLE RD,LARCENY/SHOPLIFTING
13,12-26-2021 1:51 PM,Wilmington Police,300 BLOCK 22ND ST,BURGLARY/FORCED ENTRY/RESIDENCE
14,12-26-2021 11:38 AM,Wilmington Police,700 BLOCK 39TH ST,DAMAGE/PRIVATE PROPERTY
0,12-25-2021 9:43 PM,Wilmington Police,1300 BLOCK LANCASTER AVE,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
1,12-25-2021 6:26 PM,Wilmington Police,300 BLOCK N JACKSON ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
2,12-25-2021 5:19 PM,Wilmington Police,900 BLOCK 25TH ST,DAMAGE/PRIVATE PROPERTY
3,12-25-2021 12:00 PM,Delaware State Police,700 BLOCK NE PHILADELPHIA PIKE,LARCENY/SHOPLIFTING
4,12-25-2021 9:51 AM,Wilmington Police,2200 BLOCK PINE ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
5,12-25-2021 9:31 AM,Wilmington Police,300 BLOCK EIGHTH AVE,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
6,12-25-2021 3:00 AM,Wilmington Police,1000 BLOCK WASHINGTON ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
7,12-25-2021 1:33 AM,Wilmington Police,600 BLOCK 28TH ST,BURGLARY/FORCED ENTRY/RESIDENCE
8,12-25-2021 12:03 AM,Wilmington Police,1100 BLOCK READ ST,ILLEGALLY FIRING A WEAPON
9,12-24-2021 7:47 PM,Wilmington Police,400 BLOCK MARTIN LUTHER KING BLVD,LARCENY/FROM BUILDING
10,12-24-2021 5:42 PM,Delaware State Police,NEWPORT GAP NW PIKE & WILSON ST,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
11,12-24-2021 4:30 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
12,12-24-2021 2:08 PM,Delaware State Police,1200 BLOCK SE CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
13,12-24-2021 12:32 PM,Wilmington Police,2100 BLOCK CLAYMONT ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
14,12-24-2021 12:15 PM,Wilmington Police,1900 BLOCK S 4TH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
0,12-24-2021 11:56 AM,Wilmington Police,1700 BLOCK LOVERING AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
1,12-24-2021 11:45 AM,Wilmington Police,2800 BLOCK S 2ND ST,FRAUD BY WIRE
2,12-24-2021 11:33 AM,Delaware State Police,300 BLOCK NW LEA BLVD,DAMAGE/BUSINESS PROPERTY
3,12-24-2021 11:18 AM,Delaware State Police,3200 BLOCK W KIRKWOOD HWY,LARCENY/SHOPLIFTING
4,12-24-2021 10:45 AM,Wilmington Police,2300 BLOCK N 19TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
5,12-24-2021 7:36 AM,Wilmington Police,2300 BLOCK DELAWARE AVE,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
6,12-24-2021 3:37 AM,Wilmington Police,3000 BLOCK 2ND ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
7,12-23-2021 9:51 PM,Wilmington Police,1600 BLOCK THATCHER ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
8,12-23-2021 2:35 PM,Wilmington Police,2400 BLOCK MADISON ST,LARCENY/FROM BUILDING
9,12-23-2021 2:35 PM,Wilmington Police,400 BLOCK S 9TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
10,12-23-2021 1:05 PM,Wilmington Police,2800 BLOCK MONROE PL,BURGLARY/FORCED ENTRY/RESIDENCE
11,12-23-2021 2:59 AM,Wilmington Police,1000 BLOCK N LOMBARD ST,VEHICLE THEFT
12,12-23-2021 12:39 AM,Wilmington Police,4000 BLOCK MARKET ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
13,12-22-2021 11:55 PM,Delaware State Police,200 BLOCK SW MARYLAND AVE,LARCENY/FROM BUILDING
14,12-22-2021 10:05 PM,Wilmington Police,500 BLOCK MCCABE AVE,DAMAGE/PRIVATE PROPERTY
0,12-22-2021 8:15 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
1,12-22-2021 7:12 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
2,12-22-2021 6:48 PM,Wilmington Police,1300 BLOCK S HEALD ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
3,12-22-2021 5:45 PM,Delaware State Police,3600 BLOCK NE MILLER RD,ROBBERY/CARJACKING/KNIFE MISCELLANEOUS
4,12-22-2021 5:16 PM,Delaware State Police,4000 BLOCK NE DUPONT PKY,THEFT/FALSE PRETENSE OR PROMISE
5,12-22-2021 5:14 PM,Wilmington Police,1000 BLOCK CLIFFORD BROWN WALK,BURGLARY/NO FORCED ENTRY/RESIDENCE
6,12-22-2021 4:20 PM,Delaware State Police,3600 BLOCK SW MILLER RD,LARCENY/SHOPLIFTING
7,12-22-2021 1:46 PM,Wilmington Police,1200 BLOCK D ST,IMPERSONATION
8,12-22-2021 11:30 AM,Delaware State Police,1200 BLOCK CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
9,12-22-2021 10:12 AM,Wilmington Police,2900 BLOCK CONRAD ST,LARCENY/FROM VEHICLE/NOT ATTACHED
10,12-22-2021 9:24 AM,Wilmington Police,1000 BLOCK 25TH ST,DAMAGE/BUSINESS PROPERTY
11,12-22-2021 9:09 AM,Wilmington Police,1000 BLOCK 3RD ST,THEFT/BUS/TRUCK LOCALLY RECOVERED
12,12-22-2021 6:55 AM,Wilmington Police,800 BLOCK S MARKET ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
13,12-21-2021 6:01 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
14,12-21-2021 5:37 PM,Wilmington Police,100 BLOCK MARTIN LUTHER KING BLVD,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
0,12-21-2021 5:04 PM,Wilmington Police,1500 BLOCK CEDAR ST,THEFT/OTHER MOTOR VEHICLE
1,12-21-2021 3:42 PM,Wilmington Police,100 BLOCK 25TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
2,12-21-2021 3:29 PM,Wilmington Police,2200 BLOCK MARKET ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
3,12-21-2021 1:18 PM,Delaware State Police,3000 BLOCK N NEW CASTLE AVE,LARCENY/FROM BUILDING
4,12-21-2021 11:50 AM,Wilmington Police,1400 BLOCK LINCOLN ST,LARCENY/FROM VEHICLE/NOT ATTACHED
5,12-21-2021 11:02 AM,Wilmington Police,500 BLOCK N 14TH ST,DAMAGE/PRIVATE PROPERTY
6,12-21-2021 11:00 AM,Wilmington Police,300 BLOCK S JUSTISON ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
7,12-21-2021 9:40 AM,Wilmington Police,000 BLOCK TROLLEY SQ,BURGLARY/FORCED ENTRY/NONRESIDENCE
8,12-21-2021 9:35 AM,Wilmington Police,1200 BLOCK N ANCHORAGE ST,LARCENY/FROM VEHICLE/NOT ATTACHED
9,12-21-2021 9:26 AM,Wilmington Police,800 BLOCK NW 22 ST,VEHICLE THEFT
10,12-21-2021 8:48 AM,Wilmington Police,800 BLOCK SCOTT ST,DAMAGE/PRIVATE PROPERTY
11,12-21-2021 8:29 AM,Wilmington Police,2200 BLOCK S PINE ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
12,12-21-2021 8:08 AM,Wilmington Police,500 BLOCK FRANKLIN ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
13,12-21-2021 7:46 AM,Delaware State Police,5200 BLOCK SE WASHINGTON STREET EXTENSI EXT,DISTURBING THE PEACE/PUBLIC NUISANCE
0,1-11-2022 5:58 PM,Delaware State Police,400 BLOCK SW E. NEWPORT PIKE,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
1,1-11-2022 5:08 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
2,1-11-2022 4:00 PM,Wilmington Police,200 BLOCK N. MARKET ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
3,1-11-2022 2:58 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
4,1-11-2022 2:43 PM,Wilmington Police,900 BLOCK CLIFFORD BROWN WALK,LARCENY/FROM BUILDING
5,1-11-2022 2:09 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
6,1-11-2022 1:58 PM,Delaware State Police,4000 BLOCK S NEW CASTLE AVE,LARCENY/FROM ALL OTHER YARDS
7,1-11-2022 1:57 PM,Wilmington Police,300 BLOCK 2ND ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
8,1-11-2022 1:40 PM,Wilmington Police,2000 BLOCK N TATNALL ST,LARCENY/FROM BANK FROM BUILDING
9,1-11-2022 1:20 PM,Wilmington Police,1600 BLOCK N THATCHER ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
10,1-11-2022 12:51 PM,Wilmington Police,1300 BLOCK S FRENCH ST,DAMAGE/PRIVATE PROPERTY
11,1-11-2022 11:09 AM,Wilmington Police,800 BLOCK N BENNETT ST,BURGLARY/FORCED ENTRY/RESIDENCE
12,1-11-2022 10:59 AM,Wilmington Police,200 BLOCK 27TH ST,LARCENY/FROM BUILDING
13,1-11-2022 10:59 AM,Wilmington Police,700 BLOCK S ADAMS ST,IMPERSONATION
14,1-11-2022 10:48 AM,Wilmington Police,600 BLOCK N 28TH ST,LARCENY/FROM ALL OTHER YARDS
0,1-11-2022 6:14 AM,Wilmington Police,600 BLOCK 30TH ST,DAMAGE/BUSINESS PROPERTY
1,1-10-2022 9:27 PM,Wilmington Police,100 BLOCK N CHRISTINA LNDG,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
2,1-10-2022 4:48 PM,Wilmington Police,600 BLOCK NE RODNEY ST,LARCENY/FROM VEHICLE/NOT ATTACHED
3,1-10-2022 3:45 PM,Delaware State Police,2800 BLOCK SW LANCASTER AVE,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
4,1-10-2022 2:49 PM,Delaware State Police,2100 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
5,1-10-2022 2:22 PM,Wilmington Police,300 BLOCK N KING ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
6,1-10-2022 11:30 AM,Wilmington Police,900 BLOCK BROOM ST,VEHICLE THEFT
7,1-10-2022 11:08 AM,Wilmington Police,300 BLOCK BROOM ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
8,1-10-2022 8:50 AM,Wilmington Police,100 BLOCK S HARRISON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
9,1-10-2022 7:53 AM,Wilmington Police,1700 BLOCK 18TH ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
10,1-9-2022 8:51 PM,Wilmington Police,100 BLOCK CEDAR ST,DAMAGE/PRIVATE PROPERTY
11,1-9-2022 8:30 PM,Wilmington Police,1700 BLOCK MAPLE ST,"ROBBERY/CARJACKING/OTHER WEAPON HIGHWAY,STREET,ALLEY"
12,1-9-2022 8:29 PM,Wilmington Police,600 BLOCK N TATNALL ST,CARRYING PROHIBITED
13,1-9-2022 6:12 PM,Wilmington Police,1100 BLOCK LINCOLN ST,BURGLARY/NO FORCED ENTRY/FREE TEXT
14,1-9-2022 5:40 PM,Wilmington Police,4100 BLOCK MARKET ST,"ROBBERY/CARJACKING/OTHER WEAPON HIGHWAY,STREET,ALLEY"
0,1-9-2022 4:57 PM,Wilmington Police,2400 BLOCK BROOM ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
1,1-9-2022 3:30 PM,Wilmington Police,1200 BLOCK S BEECH ST,LARCENY/NO FORCE/PURSE SNATCHING
2,1-9-2022 3:17 PM,Wilmington Police,300 BLOCK N CHRISTINA AVE,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
3,1-9-2022 2:10 PM,Wilmington Police,500 BLOCK 14TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
4,1-9-2022 12:26 PM,Wilmington Police,1100 BLOCK 4TH ST,ROBBERY/CARJACKING/OTHER WEAPON RESIDENCE
5,1-9-2022 5:16 AM,Wilmington Police,1700 BLOCK MARKET ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
6,1-8-2022 3:05 PM,Wilmington Police,1700 BLOCK CHURCH ST,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
7,1-8-2022 2:11 PM,Wilmington Police,100 BLOCK N UNION ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
8,1-8-2022 11:13 AM,Wilmington Police,400 BLOCK N RODNEY ST,LARCENY/FROM VEHICLE/NOT ATTACHED
9,1-8-2022 11:13 AM,Wilmington Police,400 BLOCK RODNEY ST,LARCENY/FROM VEHICLE/NOT ATTACHED
10,1-8-2022 8:25 AM,Wilmington Police,400 BLOCK 11TH ST,BURGLARY/FORCED ENTRY/RESIDENCE
11,1-8-2022 6:01 AM,Delaware State Police,3500 BLOCK MILLER RD,BURGLARY/FORCED ENTRY/NONRESIDENCE
